uniqueId,gameId,playId,team,offenseFormation,playDirection,down,yardsToGo,absoluteYardlineNumber,quarter,gameClock,winningBy,year,playType
2021091200_3776,2021091200,3776,ATL,SINGLEBACK,left,1,10,87.0,4,10:28,-16,2023,pass
2021091200_3798,2021091200,3798,ATL,SHOTGUN,left,2,10,87.0,4,10:21,-16,2023,pass
2021091200_3820,2021091200,3820,ATL,SHOTGUN,left,3,10,87.0,4,10:16,-16,2023,pass
2021091200_3928,2021091200,3928,PHI,SHOTGUN,right,3,8,32.0,4,07:49,16,2023,pass
2021091200_3988,2021091200,3988,ATL,SHOTGUN,left,1,10,92.0,4,07:03,-16,2023,pass
2021091200_4017,2021091200,4017,ATL,SHOTGUN,left,2,4,86.0,4,06:57,-16,2023,pass
2021091200_4041,2021091200,4041,ATL,SHOTGUN,left,1,10,78.0,4,06:38,-16,2023,pass
2021091200_4112,2021091200,4112,ATL,EMPTY,left,4,10,78.0,4,05:45,-16,2023,pass
2021091200_4131,2021091200,4131,PHI,SHOTGUN,right,1,10,88.0,4,05:39,16,2023,pass
2021091200_4240,2021091200,4240,ATL,SINGLEBACK,left,1,10,85.0,4,04:20,-23,2023,pass
2021091200_4274,2021091200,4274,ATL,SHOTGUN,left,1,10,66.0,4,04:13,-23,2023,pass
2021091200_4298,2021091200,4298,ATL,SHOTGUN,left,2,5,61.0,4,03:50,-23,2023,pass
2021091200_4317,2021091200,4317,ATL,SHOTGUN,left,3,13,69.0,4,03:24,-23,2023,pass
2021091200_4346,2021091200,4346,ATL,SHOTGUN,left,4,13,69.0,4,03:19,-23,2023,pass
2021091201_63,2021091201,63,BUF,EMPTY,left,1,10,34.0,1,14:47,0,2023,pass
2021091201_111,2021091201,111,BUF,SHOTGUN,left,3,5,29.0,1,13:40,0,2023,pass
2021091201_262,2021091201,262,PIT,SHOTGUN,right,3,4,57.0,1,10:47,-3,2023,pass
2021091201_345,2021091201,345,BUF,EMPTY,left,1,10,88.0,1,09:28,3,2023,pass
2021091201_406,2021091201,406,BUF,SHOTGUN,left,2,14,92.0,1,08:24,3,2023,pass
2021091201_430,2021091201,430,BUF,EMPTY,left,3,9,87.0,1,07:47,3,2023,pass
2021091201_454,2021091201,454,BUF,EMPTY,left,1,10,77.0,1,07:04,3,2023,pass
2021091201_476,2021091201,476,BUF,SHOTGUN,left,2,10,77.0,1,07:00,3,2023,pass
2021091201_500,2021091201,500,BUF,SHOTGUN,left,1,10,61.0,1,06:33,3,2023,pass
2021091201_561,2021091201,561,BUF,SHOTGUN,left,2,14,65.0,1,05:28,3,2023,pass
2021091201_589,2021091201,589,BUF,EMPTY,left,3,14,65.0,1,05:21,3,2023,pass
2021091201_639,2021091201,639,PIT,SHOTGUN,right,1,10,30.0,1,05:05,-3,2023,pass
2021091201_691,2021091201,691,PIT,EMPTY,right,3,4,36.0,1,04:26,-3,2023,pass
2021091201_762,2021091201,762,BUF,EMPTY,left,1,10,73.0,1,03:50,3,2023,pass
2021091201_856,2021091201,856,PIT,SINGLEBACK,right,1,10,23.0,1,02:41,-3,2023,pass
2021091201_901,2021091201,901,PIT,SHOTGUN,right,3,2,31.0,1,01:16,-3,2023,pass
2021091201_997,2021091201,997,PIT,EMPTY,left,3,5,72.0,2,14:15,-3,2023,pass
2021091201_1058,2021091201,1058,BUF,EMPTY,right,2,9,34.0,2,13:32,3,2023,pass
2021091201_1087,2021091201,1087,BUF,SHOTGUN,right,1,10,47.0,2,13:08,3,2023,pass
2021091201_1148,2021091201,1148,BUF,SHOTGUN,right,1,10,60.0,2,11:57,3,2023,pass
2021091201_1172,2021091201,1172,BUF,SHOTGUN,right,2,3,67.0,2,11:17,3,2023,pass
2021091201_1234,2021091201,1234,PIT,SHOTGUN,left,1,10,103.0,2,10:58,-3,2023,pass
2021091201_1300,2021091201,1300,PIT,SHOTGUN,left,3,12,105.0,2,09:45,-3,2023,pass
2021091201_1367,2021091201,1367,BUF,EMPTY,right,2,13,72.0,2,08:52,3,2023,pass
2021091201_1393,2021091201,1393,BUF,EMPTY,right,3,13,72.0,2,08:47,3,2023,pass
2021091201_1422,2021091201,1422,PIT,SHOTGUN,left,1,10,65.0,2,08:38,-3,2023,pass
2021091201_1446,2021091201,1446,PIT,SINGLEBACK,left,1,10,55.0,2,07:58,-3,2023,pass
2021091201_1486,2021091201,1486,PIT,SHOTGUN,left,3,20,65.0,2,06:17,-3,2023,pass
2021091201_1548,2021091201,1548,BUF,EMPTY,right,2,9,20.0,2,05:24,3,2023,pass
2021091201_1572,2021091201,1572,BUF,SHOTGUN,right,1,10,32.0,2,04:48,3,2023,pass
2021091201_1605,2021091201,1605,BUF,SHOTGUN,right,1,20,22.0,2,04:42,3,2023,pass
2021091201_1629,2021091201,1629,BUF,EMPTY,right,2,10,32.0,2,04:06,3,2023,pass
2021091201_1653,2021091201,1653,BUF,SHOTGUN,right,3,5,37.0,2,03:42,3,2023,pass
2021091201_1710,2021091201,1710,BUF,SHOTGUN,right,2,7,77.0,2,02:36,3,2023,pass
2021091201_1746,2021091201,1746,BUF,SHOTGUN,right,2,2,82.0,2,02:11,3,2023,pass
2021091201_1808,2021091201,1808,BUF,SHOTGUN,right,2,9,93.0,2,01:21,3,2023,pass
2021091201_1870,2021091201,1870,BUF,SHOTGUN,right,1,6,104.0,2,00:39,3,2023,pass
2021091201_1951,2021091201,1951,BUF,SHOTGUN,right,3,3,107.0,2,00:27,3,2023,pass
2021091201_2126,2021091201,2126,PIT,SHOTGUN,right,1,10,46.0,3,13:56,-10,2023,pass
2021091201_2209,2021091201,2209,PIT,SHOTGUN,right,3,4,57.0,3,13:06,-10,2023,pass
2021091201_2302,2021091201,2302,PIT,SHOTGUN,right,3,4,104.0,3,10:31,-10,2023,pass
2021091201_2362,2021091201,2362,BUF,EMPTY,left,1,10,85.0,3,10:23,7,2023,pass
2021091201_2392,2021091201,2392,BUF,EMPTY,left,2,3,78.0,3,09:53,7,2023,pass
2021091201_2414,2021091201,2414,BUF,SHOTGUN,left,3,3,78.0,3,09:49,7,2023,pass
2021091201_2438,2021091201,2438,BUF,EMPTY,left,1,10,69.0,3,09:14,7,2023,pass
2021091201_2483,2021091201,2483,BUF,EMPTY,left,1,10,57.0,3,08:07,7,2023,pass
2021091201_2547,2021091201,2547,BUF,SHOTGUN,left,1,10,47.0,3,06:44,7,2023,pass
2021091201_2590,2021091201,2590,BUF,SHOTGUN,left,3,8,45.0,3,06:01,7,2023,pass
2021091201_2612,2021091201,2612,BUF,SHOTGUN,left,4,8,45.0,3,05:54,7,2023,pass
2021091201_2634,2021091201,2634,PIT,PISTOL,right,1,10,46.0,3,05:48,-7,2023,pass
2021091201_2709,2021091201,2709,PIT,SHOTGUN,right,1,10,57.0,3,04:22,-7,2023,pass
2021091201_2731,2021091201,2731,PIT,SHOTGUN,right,2,10,57.0,3,04:15,-7,2023,pass
2021091201_2828,2021091201,2828,PIT,EMPTY,right,2,6,104.0,3,02:33,-7,2023,pass
2021091201_2850,2021091201,2850,PIT,EMPTY,right,3,6,104.0,3,02:26,-7,2023,pass
2021091201_2912,2021091201,2912,BUF,EMPTY,left,1,10,85.0,3,01:47,4,2023,pass
2021091201_2936,2021091201,2936,BUF,EMPTY,left,1,10,73.0,3,01:12,4,2023,pass
2021091201_2983,2021091201,2983,BUF,EMPTY,left,3,8,71.0,3,00:24,4,2023,pass
2021091201_3004,2021091201,3004,BUF,SHOTGUN,left,1,10,60.0,3,00:01,4,2023,pass
2021091201_3049,2021091201,3049,BUF,SHOTGUN,right,2,10,60.0,4,15:00,4,2023,pass
2021091201_3165,2021091201,3165,PIT,SHOTGUN,left,3,7,59.0,4,12:16,-4,2023,pass
2021091201_3219,2021091201,3219,PIT,SHOTGUN,left,1,5,15.0,4,11:24,-4,2023,pass
2021091201_3312,2021091201,3312,BUF,EMPTY,right,2,6,39.0,4,10:37,-3,2023,pass
2021091201_3346,2021091201,3346,BUF,EMPTY,right,3,6,39.0,4,10:31,-3,2023,pass
2021091201_3431,2021091201,3431,BUF,SHOTGUN,right,1,10,36.0,4,09:40,-10,2023,pass
2021091201_3584,2021091201,3584,BUF,SHOTGUN,right,3,5,105.0,4,06:08,-10,2023,pass
2021091201_3655,2021091201,3655,PIT,SHOTGUN,left,1,10,85.0,4,05:23,7,2023,pass
2021091201_3709,2021091201,3709,PIT,SHOTGUN,left,2,7,77.0,4,04:46,7,2023,pass
2021091201_3756,2021091201,3756,PIT,SHOTGUN,left,1,16,59.0,4,03:58,7,2023,pass
2021091201_3799,2021091201,3799,PIT,SHOTGUN,left,3,8,51.0,4,03:08,7,2023,pass
2021091201_3878,2021091201,3878,PIT,SHOTGUN,left,2,11,38.0,4,02:56,7,2023,pass
2021091201_3967,2021091201,3967,BUF,SHOTGUN,right,1,10,46.0,4,02:36,-10,2023,pass
2021091201_3989,2021091201,3989,BUF,SHOTGUN,right,2,10,46.0,4,02:32,-10,2023,pass
2021091201_4011,2021091201,4011,BUF,SHOTGUN,right,3,10,46.0,4,02:26,-10,2023,pass
2021091201_4033,2021091201,4033,BUF,SHOTGUN,right,4,10,46.0,4,02:19,-10,2023,pass
2021091201_4074,2021091201,4074,BUF,EMPTY,right,1,10,60.0,4,02:00,-10,2023,pass
2021091201_4103,2021091201,4103,BUF,SHOTGUN,right,1,10,73.0,4,01:53,-10,2023,pass
2021091201_4156,2021091201,4156,BUF,SHOTGUN,right,2,20,63.0,4,01:47,-10,2023,pass
2021091201_4180,2021091201,4180,BUF,SHOTGUN,right,3,10,73.0,4,01:27,-10,2023,pass
2021091201_4209,2021091201,4209,BUF,EMPTY,right,1,10,86.0,4,01:20,-10,2023,pass
2021091201_4233,2021091201,4233,BUF,EMPTY,right,2,5,91.0,4,00:59,-10,2023,pass
2021091201_4266,2021091201,4266,BUF,EMPTY,right,1,10,96.0,4,00:54,-10,2023,pass
2021091202_88,2021091202,88,NYJ,SHOTGUN,right,2,8,37.0,1,14:23,0,2023,pass
2021091202_210,2021091202,210,NYJ,SHOTGUN,right,2,14,41.0,1,12:20,0,2023,pass
2021091202_394,2021091202,394,CAR,SHOTGUN,left,3,5,68.0,1,09:15,0,2023,pass
2021091202_467,2021091202,467,NYJ,I_FORM,right,2,8,34.0,1,08:17,0,2023,pass
2021091202_489,2021091202,489,NYJ,EMPTY,right,3,8,34.0,1,08:08,0,2023,pass
2021091202_602,2021091202,602,CAR,SINGLEBACK,left,1,10,60.0,1,07:38,0,2023,pass
2021091202_664,2021091202,664,CAR,SHOTGUN,left,2,15,52.0,1,06:20,0,2023,pass
2021091202_688,2021091202,688,CAR,SHOTGUN,left,3,7,44.0,1,05:34,0,2023,pass
2021091202_815,2021091202,815,NYJ,SHOTGUN,right,2,10,35.0,1,01:39,0,2023,pass
2021091202_837,2021091202,837,NYJ,SHOTGUN,right,3,10,35.0,1,01:34,0,2023,pass
2021091202_935,2021091202,935,CAR,SINGLEBACK,left,2,6,91.0,1,00:39,0,2023,pass
2021091202_957,2021091202,957,CAR,EMPTY,left,3,6,91.0,1,00:35,0,2023,pass
2021091202_1021,2021091202,1021,CAR,SHOTGUN,right,2,9,39.0,2,14:21,0,2023,pass
2021091202_1074,2021091202,1074,CAR,SINGLEBACK,right,2,5,70.0,2,12:58,0,2023,pass
2021091202_1113,2021091202,1113,CAR,SINGLEBACK,right,1,10,97.0,2,12:31,0,2023,pass
2021091202_1241,2021091202,1241,NYJ,SHOTGUN,left,2,8,99.0,2,10:49,0,2023,pass
2021091202_1297,2021091202,1297,NYJ,SINGLEBACK,left,1,10,59.0,2,09:43,0,2023,pass
2021091202_1319,2021091202,1319,NYJ,SHOTGUN,left,2,10,59.0,2,09:37,0,2023,pass
